1	25	1
2	7	1
3	21	1
4	27	1
5	37	-1
6	26	1
7	11	-1
8	40	-1
9	9	-1
10	13	-1
11	27	-1
12	52	-1
13	4	1
14	9	-1
15	22	1
16	13	-1
17	15	-1
18	6	-1
19	9	-1
20	7	1
21	6	1
22	10	-1
23	7	1
24	36	1
25	5	1
26	6	-1
27	4	1
28	15	1
29	21	1
30	6	1
31	6	1
32	11	1
33	6	-1
34	13	1
35	35	-1
36	6	-1
37	45	1
38	17	-1
39	6	1
40	6	-1
41	18	1
42	6	1
43	21	-1
44	3	-1
45	3	1
46	3	1
47	3	1
48	3	-1
49	3	1
50	3	-1
51	3	1
52	3	-1
53	3	1
54	3	-1
55	3	-1
56	3	1
57	3	-1
58	3	-1
59	3	1
60	3	-1
61	3	1
62	3	-1
63	3	1
64	3	-1
65	3	1
66	3	-1
67	3	1
68	3	1
69	7	1
70	70	1
71	56	1
72	8	-1
73	7	-1
74	6	1
75	111	-1
76	6	1
77	151	-1
78	6	1
79	6	-1
80	4	1
81	103	1
82	6	1
83	68	1
84	6	1
85	5	1
86	6	1
87	6	-1
88	85	-1
89	4	1
90	6	1
91	6	-1
92	51	1
93	7	-1
94	6	-1
95	6	-1
96	104	-1
97	7	1
98	7	-1
99	7	1
100	6	1
101	6	-1
102	7	1
103	59	1
